source	function	category	status	provider	calls	books	returns
EXCEL	CONFIDENCE.T	statistical	have	MovingAverageModel.predictWithConfidence	0	0	alpha,standard_dev,size
EXCEL	CORREL	statistical	have	correlationCoefficient	0	0	array1, array2
EXCEL	COUNT	statistical	have	stats	43316	45	value1, [value2], ...
EXCEL	COUNTA	statistical	have	stats	35	5	value1, [value2], ...
EXCEL	COUNTBLANK	statistical	have	array	0	0	range
EXCEL	COUNTIF	statistical	have	aggregation	60	1	range, criteria
EXCEL	COUNTIFS	statistical	have	aggregation	0	0	criteria_range1, criteria1, [criteria_range2, criteria2]...
EXCEL	COVARIANCE.P	statistical	have	bindings	124	4	array1,array2
EXCEL	COVARIANCE.S	statistical	have	bindings	0	0	array1,array2
EXCEL	DEVSQ	statistical	have	sumOfSquaredAvgDiff	0	0	number1, [number2], ...
EXCEL	EXPON.DIST	statistical	have	statistical distributions	0	0	x,lambda,cumulative
EXCEL	F.DIST	statistical	have	fCDF	0	0	x,deg_freedom1,deg_freedom2,cumulative
EXCEL	F.DIST.RT	statistical	have	statistical distributions	0	0	x,deg_freedom1,deg_freedom2
EXCEL	F.INV	statistical	have	fQuantile	0	0	probability,deg_freedom1,deg_freedom2
EXCEL	F.INV.RT	statistical	have	statistical quantiles	0	0	probability,deg_freedom1,deg_freedom2
EXCEL	F.TEST	statistical	have	statistical tests	0	0	array1,array2
EXCEL	FISHER	statistical	have	fisher	0	0	x
EXCEL	FISHERINV	statistical	have	rho	0	0	y
EXCEL	FORECAST	statistical	have	linearRegression	0	0	x, known_y's, known_x's
EXCEL	FORECAST.ETS	statistical	have	BuiltinForecastETS + BusinessMath fitETS	0	0	target_date, values, timeline, [seasonality], [data_completion], [aggregation]
EXCEL	FORECAST.ETS.CONFINT	statistical	have	BuiltinForecastETS + forecastWithConfidence	0	0	target_date, values, timeline, [confidence_level], [seasonality], [data_completion], [aggregation]
EXCEL	FORECAST.ETS.SEASONALITY	statistical	have	BuiltinForecastETS + dominantSeasonLength	0	0	values, timeline, [data_completion], [aggregation]
EXCEL	FORECAST.ETS.STAT	statistical	have	BuiltinForecastETS + BusinessMath fitETS	0	0	values, timeline, statistic_type, [seasonality], [data_completion], [aggregation]
EXCEL	FORECAST.LINEAR	statistical	have	LinearTrend.trainedForecast	0	0	x, known_y's, known_x's
EXCEL	FREQUENCY	statistical	have	spreadsheet statistics	0	0	data_array, bins_array
EXCEL	GAMMA	statistical	have	gamma and modes	0	0	number
EXCEL	GAMMA.DIST	statistical	have	statistical distributions	0	0	x,alpha,beta,cumulative
EXCEL	GAMMA.INV	statistical	have	statistical quantiles	0	0	probability,alpha,beta
EXCEL	GAMMALN	statistical	have	logFactorial	0	0	x
EXCEL	GAMMALN.PRECISE	statistical	have	gamma and modes	0	0	x
EXCEL	GAUSS	statistical	have	gamma and modes	0	0	z
EXCEL	GEOMEAN	statistical	have	geometricMean	0	0	number1, [number2], ...
EXCEL	GROWTH	statistical	have	TimeSeries.exponential	0	0	known_y's, [known_x's], [new_x's], [const]
EXCEL	HARMEAN	statistical	have	harmonicMean	0	0	number1, [number2], ...
EXCEL	HYPGEOM.DIST	statistical	have	statistical tests	0	0	sample_s,number_sample,population_s,number_pop,cumulative
EXCEL	INTERCEPT	statistical	have	bindings	0	0	known_y's, known_x's
EXCEL	KURT	statistical	have	kurtosis	0	0	number1, [number2], ...
EXCEL	LARGE	statistical	have	stats	0	0	array, k
EXCEL	LINEST	statistical	have	linearRegression	0	0	known_y's, [known_x's], [const], [stats]
EXCEL	LOGEST	statistical	have	ExponentialTrend	0	0	known_y's, [known_x's], [const], [stats]
EXCEL	LOGNORM.DIST	statistical	have	statistical distributions	0	0	x,mean,standard_dev,cumulative
EXCEL	LOGNORM.INV	statistical	have	statistical quantiles	0	0	probability, mean, standard_dev
EXCEL	MAX	statistical	have	stats	992	114	number1, [number2], ...
EXCEL	MAXA	statistical	have	coercing aggregates	0	0	value1,[value2],...
EXCEL	MAXIFS	statistical	have	conditional extremes	0	0	max_range, criteria_range1, criteria1, [criteria_range2, criteria2], ...
EXCEL	MEDIAN	statistical	have	stats	0	0	number1, [number2], ...
EXCEL	MIN	statistical	have	stats	1973	33	number1, [number2], ...
EXCEL	MINA	statistical	have	coercing aggregates	0	0	value1, [value2], ...
EXCEL	MINIFS	statistical	have	conditional extremes	0	0	min_range, criteria_range1, criteria1, [criteria_range2, criteria2], ...
EXCEL	MODE.MULT	statistical	have	gamma and modes	0	0	number1,[number2],...
EXCEL	MODE.SNGL	statistical	have	gamma and modes	0	0	number1,[number2],...
EXCEL	NEGBINOM.DIST	statistical	have	statistical tests	0	0	number_f,number_s,probability_s,cumulative
EXCEL	NORM.DIST	statistical	have	bindings	0	0	x,mean,standard_dev,cumulative
EXCEL	NORM.INV	statistical	have	bindings	0	0	probability,mean,standard_dev
EXCEL	NORM.S.DIST	statistical	have	bindings	0	0	z,cumulative
EXCEL	NORM.S.INV	statistical	have	bindings	2	1	probability
EXCEL	PEARSON	statistical	have	correlationCoefficient	0	0	array1, array2
EXCEL	PERCENTILE.EXC	statistical	have	spreadsheet statistics	0	0	array,k
EXCEL	PERCENTILE.INC	statistical	have	stats	0	0	array,k
EXCEL	PERCENTRANK.EXC	statistical	have	gamma and modes	0	0	array,x,[significance]
EXCEL	PERCENTRANK.INC	statistical	have	spreadsheet statistics	0	0	array,x,[significance]
EXCEL	PERMUT	statistical	have	permutation	0	0	number, number_chosen
EXCEL	PERMUTATIONA	statistical	have	gamma and modes	0	0	number, number-chosen
EXCEL	PHI	statistical	have	gamma and modes	0	0	x
EXCEL	POISSON.DIST	statistical	have	statistical distributions	0	0	x,mean,cumulative
EXCEL	PROB	statistical	have	spreadsheet statistics	0	0	x_range, prob_range, [lower_limit], [upper_limit]
EXCEL	QUARTILE.EXC	statistical	have	spreadsheet statistics	0	0	array, quart
EXCEL	QUARTILE.INC	statistical	have	spreadsheet statistics	0	0	array,quart
EXCEL	RANK.AVG	statistical	have	bindings	0	0	number,ref,[order]
EXCEL	RANK.EQ	statistical	have	bindings	0	0	number,ref,[order]
EXCEL	RSQ	statistical	have	rSquared	0	0	known_y's,known_x's
EXCEL	SKEW	statistical	have	skew	0	0	number1, [number2], ...
EXCEL	SKEW.P	statistical	have	skewP	0	0	number 1, [number 2],...
EXCEL	SLOPE	statistical	have	bindings	0	0	known_y's, known_x's
EXCEL	SMALL	statistical	have	stats	0	0	array, k
EXCEL	STANDARDIZE	statistical	have	standardize	0	0	x, mean, standard_dev
EXCEL	STDEV.P	statistical	have	stats	0	0	number1,[number2],...
EXCEL	STDEV.S	statistical	have	stats	86410	42	number1,[number2],...
EXCEL	STDEVA	statistical	have	coercing aggregates	0	0	value1, [value2], ...
EXCEL	STDEVPA	statistical	have	coercing aggregates	0	0	value1, [value2], ...
EXCEL	STEYX	statistical	have	spreadsheet statistics	0	0	known_y's, known_x's
EXCEL	T.DIST	statistical	have	studentTPDF	0	0	x,deg_freedom, cumulative
EXCEL	T.DIST.2T	statistical	have	statistical distributions	0	0	x,deg_freedom
EXCEL	T.DIST.RT	statistical	have	spreadsheet statistics	0	0	x,deg_freedom
EXCEL	T.INV	statistical	have	tQuantile	0	0	probability,deg_freedom
EXCEL	T.INV.2T	statistical	have	statistical quantiles	0	0	probability,deg_freedom
EXCEL	T.TEST	statistical	have	spreadsheet statistics	0	0	array1,array2,tails,type
EXCEL	TREND	statistical	have	linearRegression	0	0	known_y's, [known_x's], [new_x's], [const]
EXCEL	TRIMMEAN	statistical	have	spreadsheet statistics	0	0	array, percent
EXCEL	VAR.P	statistical	have	stats	0	0	number1,[number2],...
EXCEL	VAR.S	statistical	have	stats	0	0	number1,[number2],...
EXCEL	VARA	statistical	have	coercing aggregates	0	0	value1, [value2], ...
EXCEL	VARPA	statistical	have	coercing aggregates	0	0	value1, [value2], ...
EXCEL	WEIBULL.DIST	statistical	have	statistical tests	0	0	x,alpha,beta,cumulative
EXCEL	Z.TEST	statistical	have	statistical tests	0	0	array,x,[sigma]
EXCEL	ACCRINT	financial	have	accruedInterest	0	0	issue, first_interest, settlement, rate, par, frequency, [basis], [calc_method]
EXCEL	ACCRINTM	financial	have		0	0	issue, settlement, rate, par, [basis]
EXCEL	AMORDEGRC	financial	have		0	0	cost, date_purchased, first_period, salvage, period, rate, [basis]
EXCEL	AMORLINC	financial	have		0	0	cost, date_purchased, first_period, salvage, period, rate, [basis]
EXCEL	COUPDAYBS	financial	have	CouponPeriod.daysAccrued	0	0	settlement, maturity, frequency, [basis]
EXCEL	COUPDAYS	financial	have	CouponPeriod.daysInPeriod	0	0	settlement, maturity, frequency, [basis]
EXCEL	COUPDAYSNC	financial	have	CouponPeriod.daysToNextCoupon	0	0	settlement, maturity, frequency, [basis]
EXCEL	COUPNCD	financial	have	CouponPeriod.nextCouponDate	0	0	settlement, maturity, frequency, [basis]
EXCEL	COUPNUM	financial	have	CouponPeriod.couponsRemaining	0	0	settlement, maturity, frequency, [basis]
EXCEL	COUPPCD	financial	have	CouponPeriod.previousCouponDate	0	0	settlement, maturity, frequency, [basis]
EXCEL	CUMIPMT	financial	have	AmortizationSchedule.totalInterest	0	0	rate, nper, pv, start_period, end_period, type
EXCEL	CUMPRINC	financial	have	AmortizationSchedule.totalPrincipal	0	0	rate, nper, pv, start_period, end_period, type
EXCEL	DB	financial	have	financial	0	0	cost, salvage, life, period, [month]
EXCEL	DDB	financial	have	decliningBalanceDepreciation — verified present	0	0	cost, salvage, life, period, [factor]
EXCEL	DISC	financial	have		0	0	settlement, maturity, pr, redemption, [basis]
EXCEL	DOLLARDE	financial	have		0	0	fractional_dollar, fraction
EXCEL	DOLLARFR	financial	have		0	0	decimal_dollar, fraction
EXCEL	DURATION	financial	have	bondDuration	0	0	settlement, maturity, coupon, yld, frequency, [basis]
EXCEL	EFFECT	financial	have	effectiveRate	0	0	nominal_rate, npery
EXCEL	FV	financial	have	financial	0	0	rate, nper, pmt, [pv], [type]
EXCEL	FVSCHEDULE	financial	have		0	0	principal, schedule
EXCEL	INTRATE	financial	have		0	0	settlement, maturity, investment, redemption, [basis]
EXCEL	IPMT	financial	have	financial	0	0	rate, per, nper, pv, [fv], [type]
EXCEL	IRR	financial	have	financial	13	12	values, [guess]
EXCEL	ISPMT	financial	have		0	0	rate, per, nper, pv
EXCEL	MDURATION	financial	have	bondModifiedDuration	0	0	settlement, maturity, coupon, yld, frequency, [basis]
EXCEL	MIRR	financial	have	mirr	0	0	values, finance_rate, reinvest_rate
EXCEL	NOMINAL	financial	have	nominalRate	0	0	effect_rate, npery
EXCEL	NPER	financial	have	financial	0	0	rate, pmt, pv, [fv], [type]
EXCEL	NPV	financial	have	financial	169	78	rate, value1, [value2], ...
EXCEL	ODDFPRICE	financial	have		0	0	settlement, maturity, issue, first_coupon, rate, yld, redemption, frequency, [basis]
EXCEL	ODDFYIELD	financial	have		0	0	settlement, maturity, issue, first_coupon, rate, pr, redemption, frequency, [basis]
EXCEL	ODDLPRICE	financial	have		0	0	settlement, maturity, last_interest, rate, yld, redemption, frequency, [basis]
EXCEL	ODDLYIELD	financial	have		0	0	settlement, maturity, last_interest, rate, pr, redemption, frequency, [basis]
EXCEL	PDURATION	financial	have	log(fv/pv)/log(1+rate) — arithmetic, not upstream mathematics	0	0	rate, pv, fv
EXCEL	PMT	financial	have	financial	1352	48	rate, nper, pv, [fv], [type]
EXCEL	PPMT	financial	have	financial	0	0	rate, per, nper, pv, [fv], [type]
EXCEL	PRICE	financial	have	bondPrice	0	0	settlement, maturity, rate, yld, redemption, frequency, [basis]
EXCEL	PRICEDISC	financial	have		0	0	settlement, maturity, discount, redemption, [basis]
EXCEL	PRICEMAT	financial	have		0	0	settlement, maturity, issue, rate, yld, [basis]
EXCEL	PV	financial	have	financial	39	13	rate, nper, pmt, [fv], [type]
EXCEL	RATE	financial	have	financial	10	2	nper, pmt, pv, [fv], [type], [guess]
EXCEL	RECEIVED	financial	have		0	0	settlement, maturity, investment, discount, [basis]
EXCEL	RRI	financial	have	cagr	0	0	nper, pv, fv
EXCEL	SLN	financial	have	financial	0	0	cost, salvage, life
EXCEL	SYD	financial	have	sumOfYearsDigitsDepreciation	0	0	cost, salvage, life, per
EXCEL	TBILLEQ	financial	have		0	0	settlement, maturity, discount
EXCEL	TBILLPRICE	financial	have		0	0	settlement, maturity, discount
EXCEL	TBILLYIELD	financial	have		0	0	settlement, maturity, pr
EXCEL	VDB	financial	have	variableDecliningBalanceDepreciation	0	0	cost, salvage, life, start_period, end_period, [factor], [no_switch]
EXCEL	XIRR	financial	have	bindings	2	2	values, dates, [guess]
EXCEL	XNPV	financial	have	xnpv	0	0	rate, values, dates
EXCEL	YIELD	financial	have	bondYield	0	0	settlement, maturity, rate, pr, redemption, frequency, [basis]
EXCEL	YIELDDISC	financial	have		0	0	settlement, maturity, pr, redemption, [basis]
EXCEL	YIELDMAT	financial	have		0	0	settlement, maturity, issue, rate, pr, [basis]
EXCEL	DATE	datetime	have	datetime	171	6	year,month,day
EXCEL	DATEDIF	datetime	have		0	0	start_date,end_date,unit
EXCEL	DATEVALUE	datetime	have	datetime	0	0	date_text
EXCEL	DAY	datetime	have	datetime	5906	16	serial_number
EXCEL	DAYS	datetime	have	datetime	0	0	end_date, start_date
EXCEL	DAYS360	datetime	have	DayCountConvention.days	0	0	start_date,end_date,[method]
EXCEL	EDATE	datetime	have	datetime	0	0	start_date, months
EXCEL	EOMONTH	datetime	have	datetime	1723	22	start_date, months
EXCEL	HOUR	datetime	have	datetime	0	0	serial_number
EXCEL	ISOWEEKNUM	datetime	have		0	0	date
EXCEL	MINUTE	datetime	have	datetime	0	0	serial_number
EXCEL	MONTH	datetime	have	datetime	9686	19	serial_number
EXCEL	NETWORKDAYS	datetime	have		0	0	start_date, end_date, [holidays]
EXCEL	NETWORKDAYS.INTL	datetime	have		0	0	start_date, end_date, [weekend], [holidays]
EXCEL	NOW	datetime	have	datetime	37	13	(no arguments)
EXCEL	SECOND	datetime	have	datetime	0	0	serial_number
EXCEL	TIME	datetime	have	datetime	0	0	hour, minute, second
EXCEL	TIMEVALUE	datetime	have		0	0	time_text
EXCEL	TODAY	datetime	have	datetime	37	7	(no arguments)
EXCEL	WEEKDAY	datetime	have	datetime	5477	6	serial_number,[return_type]
EXCEL	WEEKNUM	datetime	have		0	0	serial_number,[return_type]
EXCEL	WORKDAY	datetime	have	datetime	0	0	start_date, days, [holidays]
EXCEL	WORKDAY.INTL	datetime	have		0	0	start_date, days, [weekend], [holidays]
EXCEL	YEAR	datetime	have	datetime	21589	36	serial_number
EXCEL	YEARFRAC	datetime	have	bindings	3425	9	start_date, end_date, [basis]
EXCEL	AND	logical	have	logic	4629	50	logical1, [logical2], ...
EXCEL	BYCOL	logical	have		0	0	array, lambda(column)
EXCEL	BYROW	logical	have		0	0	array, lambda(row)
EXCEL	FALSE	logical	have	logic	0	0	(no arguments)
EXCEL	IF	logical	have	logic	93526	239	logical_test, value_if_true, [value_if_false]
EXCEL	IFERROR	logical	have	logic	168779	130	value, value_if_error
EXCEL	IFNA	logical	have	logic	0	0	value, value_if_na
EXCEL	IFS	logical	have		0	0	logical_test1, value_if_true1, [logical_test2, value_if_true2], [logical_test3, value_if_true3],...
EXCEL	LAMBDA	logical	have		0	0	[parameter1, parameter2, ...,] calculation
EXCEL	LET	logical	have		0	0	name1, name_value1, calculation_or_name2, [name_value2, calculation_or_name3...]
EXCEL	MAKEARRAY	logical	have		0	0	rows, cols, lambda(row, col)
EXCEL	MAP	logical	have		0	0	array1, lambda_or_array<#>
EXCEL	NOT	logical	have	logic	51	6	logical
EXCEL	OR	logical	have	logic	21055	25	logical1, [logical2], ...
EXCEL	REDUCE	logical	have		0	0	[initial_value], array, lambda(accumulator, value, body)
EXCEL	SCAN	logical	have		0	0	[initial_value], array, lambda(accumulator, value, body)
EXCEL	SWITCH	logical	have		0	0	expression, value1, result1, [default or value2, result2],...[default or value3, result3]
EXCEL	TRUE	logical	have	logic	0	0	(no arguments)
EXCEL	XOR	logical	have		0	0	logical1, [logical2],...
EXCEL	CELL	information	have	navigation	0	0	info_type, [reference]
EXCEL	ERROR.TYPE	information	have		0	0	error_val
EXCEL	INFO	information	out of scope	reports the machine it runs on — no workbook answer exists	0	0	type_text
EXCEL	ISBLANK	information	have	logic	386	11	value
EXCEL	ISERR	information	have	logic	3	3	value
EXCEL	ISERROR	information	have	logic	2462	35	value
EXCEL	ISEVEN	information	have		0	0	number
EXCEL	ISFORMULA	information	have	reads the cell, not its value	0	0	reference
EXCEL	ISLOGICAL	information	have		0	0	value
EXCEL	ISNA	information	have	logic	272	8	value
EXCEL	ISNONTEXT	information	have		0	0	value
EXCEL	ISNUMBER	information	have	logic	493	1	value
EXCEL	ISODD	information	have		0	0	number
EXCEL	ISOMITTED	information	have	BuiltinLambdaFunctions	0	0	argument
EXCEL	ISREF	information	have	logic	12	12	value
EXCEL	ISTEXT	information	have	logic	35	5	value
EXCEL	N	information	have		0	0	value
EXCEL	NA	information	have	logic	124	23	(no arguments)
EXCEL	SHEET	information	out of scope	needs the workbook's sheet list; an evaluator has a CellValueProvider	0	0	value
EXCEL	SHEETS	information	out of scope	needs the workbook's sheet list; an evaluator has a CellValueProvider	0	0	reference
EXCEL	STOCKHISTORY	information	out of scope	calls a web service	0	0	stock, start_date, [end_date], [interval], [headers], [property0], [property1], [property2], [property3], [property4], [property5]
EXCEL	TYPE	information	have		0	0	value
EXCEL	ADDRESS	lookup	have	navigation	21017	32	row_num, column_num, [abs_num], [a1], [sheet_text]
EXCEL	AREAS	lookup	out of scope		0	0	reference
EXCEL	CHOOSE	lookup	have	navigation	40	21	index_num, value1, [value2], ...
EXCEL	CHOOSECOLS	lookup	have		0	0	array,col_num1,[col_num2],...
EXCEL	CHOOSEROWS	lookup	have		0	0	array,row_num1,[row_num2],...
EXCEL	COLUMN	lookup	have	navigation	86620	45	[reference]
EXCEL	COLUMNS	lookup	have	navigation	0	0	array
EXCEL	DROP	lookup	have		0	0	array, rows,[columns]
EXCEL	EXPAND	lookup	have		0	0	array, rows, [columns], [pad_with]
EXCEL	FILTER	lookup	have		0	0	array,include,[if_empty]
EXCEL	FORMULATEXT	lookup	out of scope		0	0	reference
EXCEL	GETPIVOTDATA	lookup	have	navigation	0	0	data_field, pivot_table, [field1, item1, field2, item2], ...
EXCEL	GROUPBY	lookup	out of scope		0	0	row_fields,values,function,[field_headers],[total_depth],[sort_order],[filter_array],[field_relationship]
EXCEL	HLOOKUP	lookup	have	navigation	797	16	lookup_value, table_array, row_index_num, [range_lookup]
EXCEL	HSTACK	lookup	have		0	0	array1,[array2],...
EXCEL	HYPERLINK	lookup	have	navigation	0	0	link_location, [friendly_name]
EXCEL	IMAGE	lookup	out of scope		0	0	source, [alt_text], [sizing], [height], [width]
EXCEL	INDEX	lookup	have	navigation	605	43	array, row_num, [column_num]
EXCEL	INDIRECT	lookup	have	navigation	21017	32	ref_text, [a1]
EXCEL	LOOKUP	lookup	have	navigation	8	5	lookup_value, lookup_vector, [result_vector]
EXCEL	MATCH	lookup	have	navigation	380	18	lookup_value, lookup_array, [match_type]
EXCEL	OFFSET	lookup	have	navigation	9798	32	reference, rows, cols, [height], [width]
EXCEL	PIVOTBY	lookup	out of scope		0	0	row_fields,col_fields,values,function,[field_headers],[row_total_depth],[row_sort_order],[col_total_depth],[col_sort_order],[filter_array],[relative_to]
EXCEL	ROW	lookup	have	navigation	1222	2	[reference]
EXCEL	ROWS	lookup	have	navigation	0	0	array
EXCEL	RTD	lookup	out of scope		0	0	ProgID, server, topic1, [topic2], ...
EXCEL	SORT	lookup	have		0	0	array,[sort_index],[sort_order],[by_col]
EXCEL	SORTBY	lookup	have		0	0	array, by_array1, [sort_order1], [by_array2, sort_order2],...
EXCEL	TAKE	lookup	have		0	0	array, rows,[columns]
EXCEL	TOCOL	lookup	have		0	0	array, [ignore], [scan_by_column]
EXCEL	TOROW	lookup	have		0	0	array, [ignore], [scan_by_column]
EXCEL	TRANSPOSE	lookup	have	array	1	1	array
EXCEL	TRIMRANGE	lookup	out of scope		0	0	range,[trim_rows],[trim_cols]
EXCEL	UNIQUE	lookup	have		0	0	array,[by_col],[exactly_once]
EXCEL	VLOOKUP	lookup	have	navigation	100628	69	lookup_value, table_array, col_index_num, [range_lookup]
EXCEL	VSTACK	lookup	have		0	0	array1,[array2],...
EXCEL	WRAPCOLS	lookup	have		0	0	vector, wrap_count, [pad_with]
EXCEL	WRAPROWS	lookup	have		0	0	vector, wrap_count, [pad_with]
EXCEL	XLOOKUP	lookup	have	navigation	0	0	lookup_value, lookup_array, return_array, [if_not_found], [match_mode], [search_mode]
EXCEL	XMATCH	lookup	have		0	0	lookup_value, lookup_array, [match_mode], [search_mode]
EXCEL	FIELDVALUE	lookup	out of scope		0	0	value, field_name
EXCEL	ASC	text	have	BuiltinTextWidthFunctions — inverse of DBCS	0	0	text
EXCEL	ARRAYTOTEXT	text	have		0	0	array, [format]
EXCEL	BAHTTEXT	text	have	BuiltinBahtText	0	0	number
EXCEL	CHAR	text	have	text	0	0	number
EXCEL	CLEAN	text	have	text	0	0	text
EXCEL	CODE	text	have	text	0	0	text
EXCEL	CONCAT	text	have	text	0	0	text1, [text2],...
EXCEL	CONCATENATE	text	have	text	0	0	text1, [text2], ...
EXCEL	DBCS	text	have	BuiltinTextWidthFunctions	0	0	text
EXCEL	DETECTLANGUAGE	text	out of scope	network service, as cube/web	0	0	text
EXCEL	DOLLAR	text	have		0	0	number, [decimals]
EXCEL	EXACT	text	have	text	0	0	text1, text2
